intent_id,priority,awaiting_field,missing,present,aneeda_en
cancel_dialogue,100,None,None,None,"Okay, anything else you need?"
,,,,,"Okay, do you need anything else?"
,,,,,"Sure, what else can I do for you?"
,,,,,Sure. Need anything else?
,,,,,Did you need something else?
,,,,,"No problem, need anything else?"
,,,,,Let me know if you need anything else
,,,,,Can I help in any other way?
,,,,,Need help with anything else?
,,,,,"OK, canceled"
,,,,,"Alright, canceled"
,,,,,Alright
,,,,,No problem
,,,,,You got it.
,,,,,Sure thing.
,,,,,Sure.
